epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,161.004,1.38525,0.77102,0.83919,0.57094,0.5365,0.53382,0.29365,1.40653,1.07955,0.83112,0.0386141,0.000614144,0.000614144
64,162.25,1.34408,0.70153,0.83029,0.57094,0.5365,0.53382,0.29365,1.40653,1.07955,0.83112,0.0376239,0.000623857,0.000623857
65,163.435,1.5465,0.79497,0.85845,0.57094,0.5365,0.53382,0.29365,1.40653,1.07955,0.83112,0.0366336,0.00063356,0.00063356
66,164.734,1.36907,0.81543,0.83728,0.60249,0.54263,0.53403,0.30096,1.39233,1.01961,0.82975,0.0356433,0.000643254,0.000643254
67,166.251,1.33125,0.80179,0.87184,0.60249,0.54263,0.53403,0.30096,1.39233,1.01961,0.82975,0.0346529,0.000652939,0.000652939
68,167.665,1.36943,0.73411,0.8699,0.60249,0.54263,0.53403,0.30096,1.39233,1.01961,0.82975,0.0336626,0.000662614,0.000662614
69,168.907,1.36685,0.76927,0.8406,0.54366,0.59798,0.53146,0.29555,1.41531,0.9624,0.83184,0.0326723,0.000672279,0.000672279
70,170.144,1.39774,0.75674,0.86573,0.54366,0.59798,0.53146,0.29555,1.41531,0.9624,0.83184,0.0316819,0.000681934,0.000681934
71,171.449,1.38742,0.74317,0.87668,0.54366,0.59798,0.53146,0.29555,1.41531,0.9624,0.83184,0.0306916,0.000691579,0.000691579
72,172.807,1.51836,0.8181,0.83873,0.56275,0.62251,0.54793,0.3148,1.40914,0.92677,0.83352,0.0297012,0.000701214,0.000701214
73,174.007,1.54647,0.8145,0.85738,0.56275,0.62251,0.54793,0.3148,1.40914,0.92677,0.83352,0.0287108,0.000710839,0.000710839
74,175.37,1.43696,0.76241,0.84733,0.56275,0.62251,0.54793,0.3148,1.40914,0.92677,0.83352,0.0277205,0.000720453,0.000720453
75,176.675,1.4563,0.77021,0.87152,0.54895,0.621,0.53621,0.31112,1.41219,0.94629,0.83658,0.0267301,0.000730056,0.000730056
76,177.945,1.51892,0.71511,0.8539,0.54895,0.621,0.53621,0.31112,1.41219,0.94629,0.83658,0.0257396,0.000739649,0.000739649
77,179.314,1.47399,0.82829,0.83076,0.54895,0.621,0.53621,0.31112,1.41219,0.94629,0.83658,0.0247492,0.000749231,0.000749231
78,180.69,1.38732,0.76799,0.86435,0.5332,0.59536,0.5151,0.29804,1.40809,0.9123,0.83755,0.0237588,0.000758802,0.000758802
79,182.004,1.41399,0.74594,0.83458,0.5332,0.59536,0.5151,0.29804,1.40809,0.9123,0.83755,0.0227684,0.000768361,0.000768361
80,183.335,1.60548,0.77807,0.85134,0.5332,0.59536,0.5151,0.29804,1.40809,0.9123,0.83755,0.0217779,0.000777909,0.000777909
81,184.634,1.50435,0.78807,0.87482,0.53667,0.60631,0.50009,0.2894,1.4057,0.89374,0.83859,0.0207874,0.000787446,0.000787446
82,185.947,1.24321,0.78306,0.85389,0.53667,0.60631,0.50009,0.2894,1.4057,0.89374,0.83859,0.019797,0.000796971,0.000796971
83,187.204,1.25139,0.69823,0.84192,0.53667,0.60631,0.50009,0.2894,1.4057,0.89374,0.83859,0.0188065,0.000806484,0.000806484
84,188.547,1.507,0.74606,0.846,0.54248,0.60081,0.50762,0.29158,1.41588,0.88923,0.83948,0.017816,0.000815986,0.000815986
85,189.786,1.48489,0.74726,0.83322,0.54248,0.60081,0.50762,0.29158,1.41588,0.88923,0.83948,0.0168255,0.000825475,0.000825475
86,191.167,1.3472,0.74421,0.8423,0.54248,0.60081,0.50762,0.29158,1.41588,0.88923,0.83948,0.015835,0.000834952,0.000834952
87,192.387,1.36911,0.76086,0.82425,0.54248,0.60081,0.50762,0.29158,1.41588,0.88923,0.83948,0.0148444,0.000844417,0.000844417
88,193.606,1.40713,0.75575,0.85395,0.54802,0.61493,0.52431,0.30738,1.40034,0.84115,0.83868,0.0138539,0.000853869,0.000853869
89,195.089,1.6117,0.79699,0.86706,0.54802,0.61493,0.52431,0.30738,1.40034,0.84115,0.83868,0.0128633,0.000863309,0.000863309
90,196.433,1.45924,0.73824,0.83644,0.54802,0.61493,0.52431,0.30738,1.40034,0.84115,0.83868,0.0118727,0.000872736,0.000872736
91,197.719,1.45869,0.75331,0.8713,0.54802,0.61493,0.52431,0.30738,1.40034,0.84115,0.83868,0.0108822,0.00088215,0.00088215
92,199.118,1.5576,0.77211,0.88408,0.57556,0.57638,0.54473,0.316,1.39343,0.86441,0.8373,0.00989155,0.000891551,0.000891551
93,200.515,1.56236,0.70737,0.87212,0.57556,0.57638,0.54473,0.316,1.39343,0.86441,0.8373,0.00890094,0.000900939,0.000900939
94,201.872,1.43355,0.78838,0.87906,0.57556,0.57638,0.54473,0.316,1.39343,0.86441,0.8373,0.00791031,0.000910314,0.000910314
95,203.252,1.45786,0.77058,0.86343,0.57556,0.57638,0.54473,0.316,1.39343,0.86441,0.8373,0.00691968,0.000919675,0.000919675
96,204.629,1.42636,0.76272,0.86794,0.59781,0.55751,0.5687,0.32914,1.40192,0.90999,0.83621,0.00592902,0.000929023,0.000929023
97,206.136,1.49747,0.69048,0.86588,0.59781,0.55751,0.5687,0.32914,1.40192,0.90999,0.83621,0.00493836,0.000938357,0.000938357
98,207.561,1.47266,0.69951,0.85127,0.59781,0.55751,0.5687,0.32914,1.40192,0.90999,0.83621,0.00394768,0.000947677,0.000947677
99,209.022,1.50147,0.77888,0.85966,0.59781,0.55751,0.5687,0.32914,1.40192,0.90999,0.83621,0.00295698,0.000956983,0.000956983
100,210.388,1.44809,0.76957,0.87911,0.62752,0.53342,0.57031,0.33191,1.4074,0.92993,0.83675,0.00196627,0.000966275,0.000966275
101,211.697,1.63057,0.7882,0.86072,0.62752,0.53342,0.57031,0.33191,1.4074,0.92993,0.83675,0.000975553,0.000975553,0.000975553
102,213.19,1.57891,0.8267,0.86999,0.62752,0.53342,0.57031,0.33191,1.4074,0.92993,0.83675,0.000975065,0.000975065,0.000975065
103,214.542,1.34918,0.77219,0.87777,0.62752,0.53342,0.57031,0.33191,1.4074,0.92993,0.83675,0.000974574,0.000974574,0.000974574
